PAX Gold (PAXG),"$1,797.95"
CyberVein (CVT),$0.038980
Bytecoin (BCN),$0.000222
ReddCoin (RDD),$0.001396
Power Ledger (POWR),$0.093504
Harmony (ONE),$0.006296
Gatechain Token (GT),$0.541041
Swipe (SXP),$0.566926
WaykiChain (WICC),$0.196655
DAD (DAD),$0.309771
STASIS EURO (EURS),$1.12
Streamr (DATA),$0.052640
Orbs (ORBS),$0.016262
Ark (ARK),$0.288602
Storj (STORJ),$0.176949
GXChain (GXC),$0.518350
Theta Fuel (TFUEL),$0.008694
Band Protocol (BAND),$1.62
Xensor (XSR),$0.029538
Ocean Protocol (OCEAN),$0.092106
Dragonchain (DRGN),$0.093140
Ripio Credit Network (RCN),$0.060672
Insolar (XNS),$0.777818
Crypterium (CRPT),$0.312425
Thunder Token (TT),$0.005628
Gnosis (GNO),$26.86
Huobi Pool Token (HPT),$0.005912
Waltonchain (WTC),$0.420164
Elastos (ELA),$1.58
Wanchain (WAN),$0.235202
BHEX Token (BHT),$0.144021
Cortex (CTXC),$0.112227
IRISnet (IRIS),$0.037372
IoTeX (IOTX),$0.005774
Molecular Future (MOF),$0.322398
Beam (BEAM),$0.409299
Wirex Token (WXT),$0.010009
Fetch.ai (FET),$0.034916
FunFair (FUN),$0.003897
PIVX (PIVX),$0.447661
Request (REQ),$0.032124
Utrust (UTK),$0.055681
Fusion (FSN),$0.544675
Haven Protocol (XHV),$1.91
Kusama (KSM),$8.08
WINk (WIN),$0.000076
Origin Protocol (OGN),$0.317682
Aurora (AOA),$0.003621
Project Pai (PAI),$0.016067
MX Token (MX),$0.130580
12Ships (TSHP),$0.004755
TrueChain (TRUE),$0.293044
Nebulas (NAS),$0.430008
Grin (GRIN),$0.476328
Seele-N (SEELE),$0.031641
Polymath (POLY),$0.042188
XinFin Network (XDCE),$0.003232
Nimiq (NIM),$0.003542
Metal (MTL),$0.329630
WazirX (WRX),$0.139462
Loom Network (LOOM),$0.021757
Tachyon Protocol (IPX),$0.078326
Function X (FX),$0.090911
Fantom (FTM),$0.011299
Aidos Kuneen (ADK),$0.803307
BOSAGORA (BOA),$0.070855
Syscoin (SYS),$0.033064
Civic (CVC),$0.028942
BitKan (KAN),$0.002982
Populous (PPT),$0.353421
Enigma (ENG),$0.246848
Nash Exchange (NEX),$0.781707
Dent (DENT),$0.000220
ILCoin (ILC),$0.034543
Celer Network (CELR),$0.004752
Gas (GAS),$1.76
Neo (NEO),$11.15
Bitcoin SV (BSV),$188.36
Dogecoin (DOGE),$0.004570
HedgeTrade (HEDG),$1.54
Paxos Standard (PAX),$1.00
Zilliqa (ZIL),$0.020259
Kyber Network (KNC),$1.65
Cardano (ADA),$0.122814
Ethereum Classic (ETC),$6.70
Zcash (ZEC),$57.96
Qtum (QTUM),$2.09

UNUS SED LEO (LEO),$1.21OMG Network (OMG),$1.59
Bitcoin (BTC),"$9,400.51"
Litecoin (LTC),$45.46
IOTA (MIOTA),$0.264397
Ethereum (ETH),$245.85
Monero (XMR),$67.74
Hedera Hashgraph (HBAR),$0.041893
DigiByte (DGB),$0.021262
ICON (ICX),$0.401315
Basic Attention Token (BAT),$0.266034
Dash (DASH),$73.23
Chainlink (LINK),$6.20
Compound (COMP),$185.22
XRP (XRP),$0.208744
Augur (REP),$19.68
USD Coin (USDC),$0.999978
Synthetix Network Token (SNX),$3.03
0x (ZRX),$0.446795
The Midas Touch Gold (TMTG),$0.051262
Binance Coin (BNB),$17.10
Cosmos (ATOM),$3.63
Maker (MKR),$457.40
Tezos (XTZ),$2.61
OKB (OKB),$5.08
Algorand (ALGO),$0.251075
Tether (USDT),$1.00
Aave (LEND),$0.196815
VeChain (VET),$0.018151
THETA (THETA),$0.248223
Ontology (ONT),$0.657708
Stellar (XLM),$0.093783
Crypto.com Coin (CRO),$0.144123
Bitcoin Cash (BCH),$242.98
Hyperion (HYN),$0.500133
Waves (WAVES),$1.21
Verge (XVG),$0.006870
TRON (TRX),$0.018564
Nano (NANO),$1.07
Dai (DAI),$1.01
Celsius (CEL),$0.395210
Huobi Token (HT),$4.21
DxChain Token (DX),$0.002093
BitTorrent (BTT),$0.000368
Binance USD (BUSD),$1.00
Elrond (ERD),$0.008403
Holo (HOT),$0.000732
Bitcoin Diamond (BCD),$0.843895
Horizen (ZEN),$7.48
2995
ZB Token (ZB),$0.224959
TrueUSD (TUSD),$0.999514
Matic Network (MATIC),$0.021173
Decred (DCR),$15.64
Nervos Network (CKB),$0.005431
Ravencoin (RVN),$0.020150
ABBC Coin (ABBC),$0.111653
Enjin Coin (ENJ),$0.187732
Steem (STEEM),$0.219559
HUSD (HUSD),$0.999923
IOST (IOST),$0.006740
Bitcoin Gold (BTG),$9.39
iExec RLC (RLC),$0.913953
MCO (MCO),$4.33
Siacoin (SC),$0.003665
Terra (LUNA),$0.211404
MonaCoin (MONA),$1.76
Energi (NRG),$1.94
Bytom (BTM),$0.090840
Loopring (LRC),$0.097730
Ren (REN),$0.185525
Komodo (KMD),$0.669330
Hive (HIVE),$0.223291
Flexacoin (FXC),$0.004506
Chiliz (CHZ),$0.012619
Quant (QNT),$9.41
Bancor (BNT),$1.53
Blockstack (STX),$0.151663
Status (SNT),$0.028614
HyperCash (HC),$1.30
Reserve Rights (RSR),$0.008244
KuCoin Shares (KCS),$0.825493
BitShares (BTS),$0.025726
TomoChain (TOMO),$0.678650
MaidSafeCoin (MAID),$0.100008
Lisk (LSK),$1.23
Decentraland (MANA),$0.041183
Digitex Futures (DGTX),$0.059280
Nexo (NEXO),$0.224567
Electroneum (ETN),$0.005671
PAX Gold (PAXG),"$1,798.78"
Aion (AION),$0.109587
Golem (GNT),$0.056341
STASIS EURO (EURS),$1.12
Gatechain Token (GT),$0.540408
WAX (WAXP),$0.054572
Ampleforth (AMPL),$2.64
Band Protocol (BAND),$1.68
aelf (ELF),$0.105102
Unibright (UBT),$0.323405
CyberVein (CVT),$0.039602
Numeraire (NMR),$20.22
Ripio Credit Network (RCN),$0.061024
WaykiChain (WICC),$0.197809
RSK Infrastructure Framework (RIF),$0.083945
NULS (NULS),$0.578973
Kava (KAVA),$1.34
Theta Fuel (TFUEL),$0.008782
Ark (ARK),$0.289348
SOLVE (SOLVE),$0.140432
Power Ledger (POWR),$0.094613
Insolar (XNS),$0.778558
Stratis (STRAT),$0.566045
Swipe (SXP),$0.565457
Pundi X (NPXS),$0.000189
Orbs (ORBS),$0.016058
Dragonchain (DRGN),$0.096988
Ardor (ARDR),$0.053226
v.systems (VSYS),$0.025235
Crypterium (CRPT),$0.310976
Aeternity (AE),$0.147874
ReddCoin (RDD),$0.001381
Storj (STORJ),$0.179096
Aragon (ANT),$1.37
Gnosis (GNO),$26.97
Xensor (XSR),$0.029291
Super Zero Protocol (SERO),$0.188603
Zcoin (XZC),$4.80
Cortex (CTXC),$0.112669
Harmony (ONE),$0.006337
Thunder Token (TT),$0.005614
GXChain (GXC),$0.531749
Ocean Protocol (OCEAN),$0.093077
Waltonchain (WTC),$0.427700
Bytecoin (BCN),$0.000232
PIVX (PIVX),$0.446359
Huobi Pool Token (HPT),$0.006014
WINk (WIN),$0.000076
BHEX Token (BHT),$0.143750
Nimiq (NIM),$0.003721
Polymath (POLY),$0.042620
Elastos (ELA),$1.59
FunFair (FUN),$0.003986
Utrust (UTK),$0.055810
Syscoin (SYS),$0.033190
IRISnet (IRIS),$0.036665
12Ships (TSHP),$0.004796
DAD (DAD),$0.306174
,
Grin (GRIN),$0.492231
Wanchain (WAN),$0.234772
XinFin Network (XDCE),$0.003212
Fetch.ai (FET),$0.034495
Haven Protocol (XHV),$1.92
Civic (CVC),$0.028999
Beam (BEAM),$0.413714
MX Token (MX),$0.129737
Streamr (DATA),$0.053048
Loom Network (LOOM),$0.021518
IoTeX (IOTX),$0.005850
Metal (MTL),$0.331007
Molecular Future (MOF),$0.305446
Nash Exchange (NEX),$0.812852
TrueChain (TRUE),$0.293872
Enigma (ENG),$0.246870
Origin Protocol (OGN),$0.329795
Wirex Token (WXT),$0.009823
Populous (PPT),$0.357389
WazirX (WRX),$0.139741
Function X (FX),$0.090603
Aurora (AOA),$0.003550
Kusama (KSM),$7.67
BitKan (KAN),$0.002982
Fusion (FSN),$0.560861
Tachyon Protocol (IPX),$0.078830
BOSAGORA (BOA),$0.071032
Seele-N (SEELE),$0.032541
Dent (DENT),$0.000219
Project Pai (PAI),$0.016320
Aidos Kuneen (ADK),$0.789770
Request (REQ),$0.032367
Gas (GAS),$1.77
Nebulas (NAS),$0.431283
ILCoin (ILC),$0.034089
,
Bitcoin SV (BSV),$181.51
EOS (EOS),$2.62
TRON (TRX),$0.018199
Zcash (ZEC),$55.21
Neo (NEO),$10.66
NEM (XEM),$0.044875
0x (ZRX),$0.407928
Aave (LEND),$0.183478
Bitcoin (BTC),"$9,196.01"
The Midas Touch Gold (TMTG),$0.053804
Dogecoin (DOGE),$0.003836
Chainlink (LINK),$5.91
Monero (XMR),$66.09
HedgeTrade (HEDG),$1.36
Cardano (ADA),$0.115288
OMG Network (OMG),$1.51
Ethereum (ETH),$239.32
DigiByte (DGB),$0.021395
Zilliqa (ZIL),$0.019359
USD Coin (USDC),$1.00
Ethereum Classic (ETC),$6.40
Maker (MKR),$453.43
Tether (USDT),$1.00
Augur (REP),$18.93
Tezos (XTZ),$2.46
Litecoin (LTC),$44.31
FTX Token (FTT),$2.98
Qtum (QTUM),$2.03
Huobi Token (HT),$4.18
Cosmos (ATOM),$3.89
Compound (COMP),$175.96
Stellar (XLM),$0.085713
Synthetix Network Token (SNX),$2.88
ICON (ICX),$0.378748
Basic Attention Token (BAT),$0.250816
Binance Coin (BNB),$16.71
Hedera Hashgraph (HBAR),$0.040838
VeChain (VET),$0.016125
Dash (DASH),$70.95
OKB (OKB),$4.92
UNUS SED LEO (LEO),$1.22
Paxos Standard (PAX),$1.00
THETA (THETA),$0.236403
Dai (DAI),$1.02
Crypto.com Coin (CRO),$0.142425
Decred (DCR),$15.83
XRP (XRP),$0.197912
IOTA (MIOTA),$0.244498
Ontology (ONT),$0.617852
Kyber Network (KNC),$1.61
Bitcoin Diamond (BCD),$0.844061
TrueUSD (TUSD),$1.00
Algorand (ALGO),$0.237438
Nexo (NEXO),$0.220032
Verge (XVG),$0.006551
Bancor (BNT),$1.46
Bitcoin Cash (BCH),$237.99
Status (SNT),$0.026158
Steem (STEEM),$0.209838
Hive (HIVE),$0.227153
Ren (REN),$0.171487
Binance USD (BUSD),$1.00
Elrond (ERD),$0.010413
Bytom (BTM),$0.089683
Waves (WAVES),$1.18
Nervos Network (CKB),$0.005254
Matic Network (MATIC),$0.020293
BitTorrent (BTT),$0.000423
KuCoin Shares (KCS),$0.788624
BitShares (BTS),$0.024567
Bitcoin Gold (BTG),$9.26
Flexacoin (FXC),$0.003478
HUSD (HUSD),$1.00
Nano (NANO),$1.01
Blockstack (STX),$0.148792
ZB Token (ZB),$0.221671
Divi (DIVI),$0.046528
SwissBorg (CHSB),$0.088464
Hyperion (HYN),$0.505945
,
Ravencoin (RVN),$0.019463
DxChain Token (DX),$0.002034
Terra (LUNA),$0.207693
Horizen (ZEN),$7.48
Stratis (STRAT),$0.625283
MonaCoin (MONA),$1.69
Chiliz (CHZ),$0.012655
MCO (MCO),$4.23
Enjin Coin (ENJ),$0.173636
Loopring (LRC),$0.091780
iExec RLC (RLC),$0.876471
Holo (HOT),$0.000761
Komodo (KMD),$0.658647
Quant (QNT),$8.98
ABBC Coin (ABBC),$0.108527
Energi (NRG),$1.92
IOST (IOST),$0.006400
Ampleforth (AMPL),$2.90
PAX Gold (PAXG),"$1,798.89"
Aion (AION),$0.105585
Aeternity (AE),$0.155857
Golem (GNT),$0.053226
Celsius (CEL),$0.386375
WAX (WAXP),$0.052813
Super Zero Protocol (SERO),$0.217915
Siacoin (SC),$0.003349
HyperCash (HC),$1.22
NULS (NULS),$0.531478
WaykiChain (WICC),$0.193293
Electroneum (ETN),$0.005739
Unibright (UBT),$0.324918
GXChain (GXC),$0.513612
Dragonchain (DRGN),$0.093173
Kava (KAVA),$1.30
Ardor (ARDR),$0.051487
CyberVein (CVT),$0.038672
Gatechain Token (GT),$0.527260
Storj (STORJ),$0.170649
Zcoin (XZC),$5.46
Thunder Token (TT),$0.005597
TomoChain (TOMO),$0.676994
Reserve Rights (RSR),$0.007924
,
ReddCoin (RDD),$0.001265
Digitex Futures (DGTX),$0.058644
Band Protocol (BAND),$1.60
Power Ledger (POWR),$0.092174
Aragon (ANT),$1.33
Decentraland (MANA),$0.039390
Pundi X (NPXS),$0.000205
Numeraire (NMR),$20.08
Insolar (XNS),$0.742095
Ark (ARK),$0.286922
MaidSafeCoin (MAID),$0.093583
Swipe (SXP),$0.565117
DAD (DAD),$0.302801
Crypterium (CRPT),$0.306185
SOLVE (SOLVE),$0.136801
RSK Infrastructure Framework (RIF),$0.081885
Gnosis (GNO),$26.61
Theta Fuel (TFUEL),$0.008411
Ocean Protocol (OCEAN),$0.100598
Bytecoin (BCN),$0.000230
Huobi Pool Token (HPT),$0.005989
Harmony (ONE),$0.005929
v.systems (VSYS),$0.025961
Waltonchain (WTC),$0.396191
Molecular Future (MOF),$0.301465
Cortex (CTXC),$0.116499
STASIS EURO (EURS),$1.12
Ripio Credit Network (RCN),$0.058038
Xensor (XSR),$0.030888
Fusion (FSN),$0.535765
Seele-N (SEELE),$0.038553
aelf (ELF),$0.097178
FunFair (FUN),$0.003853
Elastos (ELA),$1.72
Beam (BEAM),$0.389391
IoTeX (IOTX),$0.005974
Request (REQ),$0.032669
BitKan (KAN),$0.002928
,
BHEX Token (BHT),$0.143016
Wanchain (WAN),$0.216512
Origin Protocol (OGN),$0.318281
Streamr (DATA),$0.049782
PIVX (PIVX),$0.444226
MX Token (MX),$0.128319
Tachyon Protocol (IPX),$0.076357
Enigma (ENG),$0.247308
Grin (GRIN),$0.470038
WINk (WIN),$0.000080
12Ships (TSHP),$0.004640
Project Pai (PAI),$0.015960
Nash Exchange (NEX),$0.779402
Function X (FX),$0.089723
Haven Protocol (XHV),$2.06
Utrust (UTK),$0.056583
Civic (CVC),$0.027607
ARPA Chain (ARPA),$0.029581
Fetch.ai (FET),$0.033391
Aurora (AOA),$0.003422
Kusama (KSM),$7.84
Populous (PPT),$0.337295
Nimiq (NIM),$0.004234
Loom Network (LOOM),$0.020664
Wirex Token (WXT),$0.009747
IRISnet (IRIS),$0.032566
Nebulas (NAS),$0.431755
Aidos Kuneen (ADK),$0.714504
,
TrueChain (TRUE),$0.292524
BOSAGORA (BOA),$0.069993
Fantom (FTM),$0.010178
Metal (MTL),$0.335947
Dent (DENT),$0.000217
WazirX (WRX),$0.138997
Syscoin (SYS),$0.032201
Celer Network (CELR),$0.004838
Ankr (ANKR),$0.003394
